iter_b,zero_prob_b,one_prob_b
1036,0.05,0.95
1037,0.05,0.95
1038,0.05,0.95
1039,0.05,0.95
1040,0.05,0.95
1041,0.05,0.95
1042,0.05,0.95
1043,0.05,0.95
1044,0.05,0.95
1045,0.05,0.95
1046,0.05,0.95
1047,0.05,0.95
1048,0.05,0.95
1049,0.05,0.95
1050,0.05,0.95
1051,0.05,0.95
1052,0.05,0.95
1053,0.05,0.95
1054,0.05,0.95
1055,0.05,0.95
1056,0.05,0.95
1057,0.05,0.95
1058,0.05,0.95
1059,0.05,0.95
1060,0.05,0.95
1061,0.05,0.95
1062,0.06,0.94
1063,0.06,0.94
1064,0.06,0.94
1065,0.06,0.94
1066,0.06,0.94
1067,0.06,0.94
1068,0.06,0.94
1069,0.06,0.94
1070,0.06,0.94
1071,0.06,0.94
1072,0.06,0.94
1073,0.06,0.94
1074,0.06,0.94
1075,0.06,0.94
1076,0.06,0.94
1077,0.06,0.94
1078,0.06,0.94
1079,0.06,0.94
1080,0.06,0.94
1081,0.06,0.94
1082,0.06,0.94
1083,0.06,0.94
1084,0.06,0.94
1085,0.06,0.94
1086,0.06,0.94
1087,0.06,0.94
1088,0.06,0.94
1089,0.06,0.94
1090,0.06,0.94
1091,0.06,0.94
1092,0.06,0.94
1093,0.06,0.94
1094,0.06,0.94
1095,0.06,0.94
1096,0.06,0.94
1097,0.06,0.94
1098,0.06,0.94
1099,0.06,0.94
1100,0.06,0.94
1101,0.06,0.94
1102,0.06,0.94
1103,0.06,0.94
1104,0.06,0.94
1105,0.06,0.94
1106,0.06,0.94
1107,0.06,0.94
1108,0.06,0.94
1109,0.06,0.94
1110,0.06,0.94
1111,0.06,0.94
1112,0.06,0.94
1113,0.06,0.94
1114,0.06,0.94
1115,0.06,0.94
1116,0.06,0.94
1117,0.06,0.94
1118,0.06,0.94
1119,0.06,0.94
1120,0.06,0.94
1121,0.06,0.94
1122,0.06,0.94
1123,0.06,0.94
1124,0.06,0.94
1125,0.06,0.94
1126,0.06,0.94
1127,0.06,0.94
1128,0.06,0.94
1129,0.06,0.94
1130,0.06,0.94
1131,0.06,0.94
1132,0.06,0.94
1133,0.06,0.94
1134,0.06,0.94
1135,0.06,0.94
1136,0.06,0.94
1137,0.06,0.94
1138,0.06,0.94
1139,0.06,0.94
1140,0.06,0.94
1141,0.06,0.94
1142,0.06,0.94
1143,0.06,0.94
1144,0.06,0.94
1145,0.06,0.94
1146,0.05,0.95
1147,0.06,0.94
1148,0.06,0.94
1149,0.06,0.94
1150,0.06,0.94
1151,0.06,0.94
1152,0.06,0.94
